"Vhfxl","10095.36544883744"
"Yup","28321"
"Lwzgud","380770.692929845"
"Kytd","9112"
"Meygol","52589.0445446943"
"Wcqji","15443"
"Ayr","90446.0286847464"
"Edpl","42102.8842926762"
"Fnwy","168722.7852826734"
"Woy","635005.747758190"
"Uohtsp","7408"
"Djbb","1128"
"Ixfhin","672387.501819861"
"Abdaww","4691.87368962032"
"Qqar","61886"
"Lty","543658.283862113"
"Yqaqb","18339"
"Azgln","377378.801097474"
"Ynsi","15594"
"Oys","9436"
"Cps","20426"
"Ejnr","11433"
"Mamhn","51484"
"Oynf","20929"
"Waaa","16439"
"Ugmbww","4624"
"Ajjhtp","93890.5315912893"
"Pfyar","37672"
"Nyebl","158607.0939122270"
"Jza","12590"
"Myd","5230.58892774370"
"Stni","259865.4390705784"
"Bxoj","398087.7327820958"
"Jdcqiq","38889"
"Zkwgu","240456.4638714279"
"Ugd","66748.0576993650"
"Qwli","17989.1737682099"
"Ilt","34537.1231706742"
"Jdkloe","24955"
"Juml","47285.1482253331"
"Pkvwjd","12581"
"Otp","66153"
"Ihas","182683.6812774035"
"Xmych","448338.540722576"
"Nfcpy","381682.5713532608"
"Exqjd","2330"
"Mdhhxy","51232"
"Duoel","1708"
"Orrd","19343"
"Dvjytz","466163.219764773"
"Vrnb","44050"
"Nzyakp","12552.2192290535"
"Ybzdyk","24372.1525381925"
"Bvpqbf","443835.254486962"
"Cvl","635486.792785204"
"Ouq","51668"
"Srbna","71504.9623981735"
"Nht","128828.9384521051"
"Fmru","722751.990335437"
"Uvdx","73155"
"Vjbil","921"
"Tnoa","18203"
"Ipr","45422"
"Rntval","32256"
"Yjs","6351"
"Ncj","164988.7706267990"
"Kffy","25116"
"Emzz","1686"
"Agjfmf","46082.77798462735"
"Qtlj","42434"
"Sij","431303.8450767646"
"Wdkp","19069"
"Jaxi","18256.20996740679"
"Voh","11157"
"Gdieuj","21860"
"Ewha","23863.1743986343"
"Yiy","68073"
"Vwkqzr","130479.1615012165"
"Wrt","4683"
"Hovq","11338"
"Caqpey","26264"
"Huks","23442"
"Fvolm","14151"
"Apkgnj","11693.78365092921"
"Gadm","13209"
"Cec","125132.1144057117"
"Vsxw","28319"
"Acuk","110856.2857985523"
"Alw","19331"
"Crvte","9356"
"Fgzdau","39701"
"Ohbbs","57225"
"Iuxdnr","484251.6373872662"
"Ovhn","17097.85477935402"
"Virnhs","9752"
"Mibwl","58195.8081667027"
"Njj","138763.7891090894"
"Hmk","21646"
"Fhko","70163"
"Ouqri","39864"
"Gqod","615952.720805042"
"Szkat","600815.343801068"
"Ulkb","1976"
"Iahhny","3402"
"Sur","511375.916379368"
"Qodlv","247062.9577958112"
"Gkuoqu","23263.1067356156"
"Lxzy","7070"
"Nqi","52014"
"Keor","440216.82173153"
"Fhds","4443"
"Ltf","28581.568263263"
"Amwu","90084.9738032819"
"Ootb","440747.331447082"
"Diuv","13724"
"Erkhv","18898.4815533656"
"Ogz","1806"
"Ueovr","21518.27925626441"
"Blzat","92623.1109486713"
"Pam","18208"
"Ehzb","15095"
"Gvqew","417774.554996266"
"Zwwhf","70497"
"Ofp","24008"
"Nzdk","1916"
"Hpmewn","42014"
"Xon","64279"
"Ignvkk","33531"
"Jato","2602"
"Woemw","11084"
"Bpimfd","3548"
"Zqngna","10851.99344025642"
"Edacu","759391.050612422"
"Rzto","38326"
"Zly","399137.0677476675"
"Oor","20533"
"Loeqc","6905"
"Efk","9062"
"Sezffw","68297.4307271036"
"Mqsci","2031"
"Tyfw","31005"
"Ber","104805.0238560541"
"Sixhkm","21394"
"Rowlpm","39290.40096345165"
"Nryefv","10202.99218635865"
"Chmupz","49021.4418914579"
"Kordpp","157"
"Xbsem","474500.719084927"
"Ebivsu","49823"
"Zmatgl","41204"
"Ocsi","6086"
"Kjm","7413"
"Ywfslk","73245"
"Ajkl","52380"
"Iktk","108170.678724559"
"Mmu","54765"
"Xjsgjy","69592"
"Luvxf","25985"
"Cgepcn","55224"
"Elm","18867.39953718145"
"Zfoety","133913.1202298132"
"Mhmt","6667"
"Rukp","29361"
"Irjgu","54416"
"Hriy","17702"
"Pve","2915.041764718621"
"Jkvu","5460"
"Awwr","81408"
"Vydzmw","27042"
"Kxef","12520"
"Ioi","443277.971708951"
"Uhaz","23575"
"Cenwc","712253.966733816"
"Hyk","24448"
"Rifcx","23370"
"Iuru","426289.9158168493"
"Ricv","56856"
"Lmutz","21686"
"Esexn","11976"
"Aql","25483"
"Tkozy","69348.1168397947"
"Wab","52259"
"Vmei","43130"
"Yjbrlf","210546.5225377636"
"Ysg","345075.300082419"
"Ehzpa","698973.527362078"
"Ssvte","39312.168515403"
"Dig","278476.961150503"
"Nyvf","705409.594956072"
"Ckouyz","18934"
"Ziv","332057.0206014158"
"Xfxbj","1964"
"Itfg","7406"
"Sfm","623712.209048382"
"Kcxr","123210.7497939855"
"Ecqi","17578"
"Cesv","4103"
"Wzfns","525304.414014530"
"Arkv","334038.371665415"
"Srvyg","224898.1106422938"
"Xcykpn","2053.79580299048"
"Xwl","19456"
"Mmax","512635.6366956912"
"Glisf","3094"
"Iyy","123294.3115685260"
"Pux","49113"
"Zlyg","20008"
"Vtxu","105152.5843657510"
"Ecg","95977.6424360876"
"Rljoc","412716.976750983"
"Xaktbl","48738"
"Xewnhm","823850.728094876"
"Hopqg","241991.3004564286"
"Dhyp","14623.46170472559"
"Xuaeec","69678"
"Gtemi","310035.9632397035"
"Tqau","54090"
"Uxcqy","14232"
"Qjq","31478"
"Piwd","13130"
"Iyxxzb","171530.4066703670"
"Wusz","186745.7676815481"
"Ksoxz","7464"
"Eoqstc","13866"
"Sgrjyr","205362.0478226273"
"Hkaees","8791"
"Xrba","9160"
"Ntis","420135.100420339"
"Xybt","883092.514921683"
"Xoflu","262368.730057951"
"Yhigkf","35905"
"Nqa","95536"
"Gwo","22667"
"Roll","28847"
"Hxr","569390.183980352"
"Lriwxz","21685"
"Ntdizr","3762"
"Ygvq","3181"
"Mibnam","7545"
"Ysfmgg","8098"
"Ahk","395249.3637242027"
"Jejcbm","122648.2947830327"
"Jje","530728.325962066"
"Ybrlm","175647.391437051"
"Puqdfa","2942"
"Doj","330983.669894701"
"Zav","5148"
"Ltws","275143.3989631"
"Vtwle","3564"
"Mbpyo","7922.41810599404"
"Opoq","294734.452592011"
"Bmgzyd","43008.5790612319"
"Cabj","18291"
"Febxw","276977.853955436"
"Amch","602"
"Yyeqad","9249"
"Wbmcuc","341520.5051199035"
"Msy","369350.253164971"
"Zjdtcc","8983"
"Ufjcue","18234"
"Ebjtv","188348.5932006699"
"Cxxv","15109"
"Icrsu","13968"
"Gwul","3005"
"His","29719.55151804888"
"Lyv","4034"
"Cogag","758686.178681541"
"Lgfc","289631.5973887107"
"Bdvpim","358922.705583142"
"Fysqad","392107.022345456"
"Svos","15742.93572236931"
"Mjfst","126788.9677288874"
"Debh","421805.718269812"
"Dedl","717224.317804259"
"Ewcss","110218.5649118567"
"Bom","67562"
"Sodix","168010.264118534"
"Bvf","122483.8221169526"
"Ehj","75333"
"Hqgd","76495"
"Tipjye","117904.1088366162"
"Evz","258779.2298351163"
"Csiypf","5862.50732827600"
"Rih","22765"
"Epcu","9220.79384419140"
"Qoqqj","475180.672514391"
"Camw","101838.8318361735"
